"","AllDate","All.Days","Shooting","City","State","Region","Male","Race2","ST","Season"
"1",1991-01-01,1,0,NA,NA,NA,NA,NA,NA,"Winter"
"2",1991-01-02,2,0,NA,NA,NA,NA,NA,NA,"Winter"
"3",1991-01-03,3,0,NA,NA,NA,NA,NA,NA,"Winter"
"4",1991-01-04,4,1,"Jacksonville","FL","South","1","Unknown","Middle","Winter"
"5",1991-01-05,5,1,"Bourne (Route 25)","MA","Northeast","1","Caucasian","High","Winter"
"6",1991-01-06,6,0,NA,NA,NA,NA,NA,NA,"Winter"
"7",1991-01-07,7,0,NA,NA,NA,NA,NA,NA,"Winter"
"8",1991-01-08,8,1,"Richardson","TX","South","1","Caucasian","High","Winter"
"9",1991-01-09,9,0,NA,NA,NA,NA,NA,NA,"Winter"
"10",1991-01-10,10,1,"Los Angeles","CA","West",NA,"Unknown","High","Winter"
"11",1991-01-11,11,0,NA,NA,NA,NA,NA,NA,"Winter"
"12",1991-01-12,12,0,NA,NA,NA,NA,NA,NA,"Winter"
"13",1991-01-13,13,0,NA,NA,NA,NA,NA,NA,"Winter"
"14",1991-01-14,14,0,NA,NA,NA,NA,NA,NA,"Winter"
"15",1991-01-15,15,0,NA,NA,NA,NA,NA,NA,"Winter"
"16",1991-01-16,16,0,NA,NA,NA,NA,NA,NA,"Winter"
"17",1991-01-17,17,1,"Dallas ","TX","South",NA,"Unknown","Middle","Winter"
"18",1991-01-18,18,0,NA,NA,NA,NA,NA,NA,"Winter"
"19",1991-01-19,19,1,"New Orleans","LA","South","1","African American","High","Winter"
"20",1991-01-20,20,0,NA,NA,NA,NA,NA,NA,"Winter"
"21",1991-01-21,21,0,NA,NA,NA,NA,NA,NA,"Winter"
"22",1991-01-22,22,0,NA,NA,NA,NA,NA,NA,"Winter"
"23",1991-01-23,23,0,NA,NA,NA,NA,NA,NA,"Winter"
"24",1991-01-24,24,0,NA,NA,NA,NA,NA,NA,"Winter"
"25",1991-01-25,25,0,NA,NA,NA,NA,NA,NA,"Winter"
"26",1991-01-26,26,0,NA,NA,NA,NA,NA,NA,"Winter"
"27",1991-01-27,27,0,NA,NA,NA,NA,NA,NA,"Winter"
"28",1991-01-28,28,0,NA,NA,NA,NA,NA,NA,"Winter"
"29",1991-01-29,29,0,NA,NA,NA,NA,NA,NA,"Winter"
"30",1991-01-30,30,0,NA,NA,NA,NA,NA,NA,"Winter"
"31",1991-01-31,31,0,NA,NA,NA,NA,NA,NA,"Winter"
"32",1991-02-01,32,0,NA,NA,NA,NA,NA,NA,"Winter"
"33",1991-02-02,33,0,NA,NA,NA,NA,NA,NA,"Winter"
"34",1991-02-03,34,0,NA,NA,NA,NA,NA,NA,"Winter"
"35",1991-02-04,35,0,NA,NA,NA,NA,NA,NA,"Winter"
"36",1991-02-05,36,0,NA,NA,NA,NA,NA,NA,"Winter"
"37",1991-02-06,37,1,"Donna","TX","South","1","Unknown","High","Winter"
"38",1991-02-07,38,0,NA,NA,NA,NA,NA,NA,"Winter"
"39",1991-02-08,39,0,NA,NA,NA,NA,NA,NA,"Winter"
"40",1991-02-09,40,0,NA,NA,NA,NA,NA,NA,"Winter"
"41",1991-02-10,41,0,NA,NA,NA,NA,NA,NA,"Winter"
"42",1991-02-11,42,0,NA,NA,NA,NA,NA,NA,"Winter"
"43",1991-02-12,43,0,NA,NA,NA,NA,NA,NA,"Winter"
"44",1991-02-13,44,0,NA,NA,NA,NA,NA,NA,"Winter"
"45",1991-02-14,45,0,NA,NA,NA,NA,NA,NA,"Winter"
"46",1991-02-15,46,0,NA,NA,NA,NA,NA,NA,"Winter"
"47",1991-02-16,47,0,NA,NA,NA,NA,NA,NA,"Winter"
"48",1991-02-17,48,0,NA,NA,NA,NA,NA,NA,"Winter"
"49",1991-02-18,49,0,NA,NA,NA,NA,NA,NA,"Winter"
"50",1991-02-19,50,0,NA,NA,NA,NA,NA,NA,"Winter"
"51",1991-02-20,51,0,NA,NA,NA,NA,NA,NA,"Winter"
"52",1991-02-21,52,0,NA,NA,NA,NA,NA,NA,"Winter"
"53",1991-02-22,53,0,NA,NA,NA,NA,NA,NA,"Winter"
"54",1991-02-23,54,0,NA,NA,NA,NA,NA,NA,"Winter"
"55",1991-02-24,55,0,NA,NA,NA,NA,NA,NA,"Winter"
"56",1991-02-25,56,0,NA,NA,NA,NA,NA,NA,"Winter"
"57",1991-02-26,57,0,NA,NA,NA,NA,NA,NA,"Winter"
"58",1991-02-27,58,0,NA,NA,NA,NA,NA,NA,"Winter"
"59",1991-02-28,59,0,NA,NA,NA,NA,NA,NA,"Winter"
"60",1991-03-01,60,0,NA,NA,NA,NA,NA,NA,"Winter"
"61",1991-03-02,61,0,NA,NA,NA,NA,NA,NA,"Winter"
"62",1991-03-03,62,0,NA,NA,NA,NA,NA,NA,"Winter"
"63",1991-03-04,63,0,NA,NA,NA,NA,NA,NA,"Winter"
"64",1991-03-05,64,0,NA,NA,NA,NA,NA,NA,"Winter"
"65",1991-03-06,65,0,NA,NA,NA,NA,NA,NA,"Winter"
"66",1991-03-07,66,0,NA,NA,NA,NA,NA,NA,"Winter"
"67",1991-03-08,67,0,NA,NA,NA,NA,NA,NA,"Winter"
"68",1991-03-09,68,1,"Jacksonville","FL","South","1","Unknown","High","Winter"
"69",1991-03-10,69,0,NA,NA,NA,NA,NA,NA,"Winter"
"70",1991-03-11,70,0,NA,NA,NA,NA,NA,NA,"Winter"
"71",1991-03-12,71,0,NA,NA,NA,NA,NA,NA,"Winter"
"72",1991-03-13,72,0,NA,NA,NA,NA,NA,NA,"Winter"
"73",1991-03-14,73,1,"Piedmont","SC","South","1","Unknown","High","Winter"
"74",1991-03-15,74,0,NA,NA,NA,NA,NA,NA,"Winter"
"75",1991-03-16,75,0,NA,NA,NA,NA,NA,NA,"Winter"
"76",1991-03-17,76,0,NA,NA,NA,NA,NA,NA,"Winter"
"77",1991-03-18,77,0,NA,NA,NA,NA,NA,NA,"Winter"
"78",1991-03-19,78,0,NA,NA,NA,NA,NA,NA,"Spring"
"79",1991-03-20,79,0,NA,NA,NA,NA,NA,NA,"Spring"
"80",1991-03-21,80,0,NA,NA,NA,NA,NA,NA,"Spring"
"81",1991-03-22,81,0,NA,NA,NA,NA,NA,NA,"Spring"
"82",1991-03-23,82,0,NA,NA,NA,NA,NA,NA,"Spring"
"83",1991-03-24,83,0,NA,NA,NA,NA,NA,NA,"Spring"
"84",1991-03-25,84,1,"Charlotte","NC","South","1","Unknown","High","Spring"
"85",1991-03-26,85,0,NA,NA,NA,NA,NA,NA,"Spring"
"86",1991-03-27,86,0,NA,NA,NA,NA,NA,NA,"Spring"
"87",1991-03-28,87,0,NA,NA,NA,NA,NA,NA,"Spring"
"88",1991-03-29,88,0,NA,NA,NA,NA,NA,NA,"Spring"
"89",1991-03-30,89,0,NA,NA,NA,NA,NA,NA,"Spring"
"90",1991-03-31,90,0,NA,NA,NA,NA,NA,NA,"Spring"
"91",1991-04-01,91,0,NA,NA,NA,NA,NA,NA,"Spring"
"92",1991-04-02,92,0,NA,NA,NA,NA,NA,NA,"Spring"
"93",1991-04-03,93,0,NA,NA,NA,NA,NA,NA,"Spring"
"94",1991-04-04,94,0,NA,NA,NA,NA,NA,NA,"Spring"
"95",1991-04-05,95,0,NA,NA,NA,NA,NA,NA,"Spring"
"96",1991-04-06,96,0,NA,NA,NA,NA,NA,NA,"Spring"
"97",1991-04-07,97,0,NA,NA,NA,NA,NA,NA,"Spring"
"98",1991-04-08,98,0,NA,NA,NA,NA,NA,NA,"Spring"
"99",1991-04-09,99,0,NA,NA,NA,NA,NA,NA,"Spring"
"100",1991-04-10,100,0,NA,NA,NA,NA,NA,NA,"Spring"
"101",1991-04-11,101,1,"Rock Hill","SC","South","1","Unknown","High","Spring"
"102",1991-04-12,102,0,NA,NA,NA,NA,NA,NA,"Spring"
"103",1991-04-13,103,0,NA,NA,NA,NA,NA,NA,"Spring"
"104",1991-04-14,104,0,NA,NA,NA,NA,NA,NA,"Spring"
"105",1991-04-15,105,0,NA,NA,NA,NA,NA,NA,"Spring"
"106",1991-04-16,106,1,"New York City","NY","Northeast","1","Unknown","High","Spring"
"107",1991-04-17,107,0,NA,NA,NA,NA,NA,NA,"Spring"
"108",1991-04-18,108,0,NA,NA,NA,NA,NA,NA,"Spring"
"109",1991-04-19,109,0,NA,NA,NA,NA,NA,NA,"Spring"
"110",1991-04-20,110,0,NA,NA,NA,NA,NA,NA,"Spring"
"111",1991-04-21,111,0,NA,NA,NA,NA,NA,NA,"Spring"
"112",1991-04-22,112,0,NA,NA,NA,NA,NA,NA,"Spring"
"113",1991-04-23,113,1,"Compton","CA","West",NA,"Unknown","Middle","Spring"
"114",1991-04-24,114,0,NA,NA,NA,NA,NA,NA,"Spring"
"115",1991-04-25,115,0,NA,NA,NA,NA,NA,NA,"Spring"
"116",1991-04-26,116,0,NA,NA,NA,NA,NA,NA,"Spring"
"117",1991-04-27,117,0,NA,NA,NA,NA,NA,NA,"Spring"
"118",1991-04-28,118,0,NA,NA,NA,NA,NA,NA,"Spring"
"119",1991-04-29,119,0,NA,NA,NA,NA,NA,NA,"Spring"
"120",1991-04-30,120,0,NA,NA,NA,NA,NA,NA,"Spring"
"121",1991-05-01,121,0,NA,NA,NA,NA,NA,NA,"Spring"
